"","X","userid","wave_id","agescreen","age","gender","education","adults","children","employment","income","footage","ssn_precip","ssn_tmp","drghtfreq","drghtsev","fldfreq","fldsev","avgtmp","tmpextrm","evntexp_wind","evntexp_drght","evntexp_rain","evntexp_cold","evntexp_snow","evntexp_ice","evntexp_flood","evntexp_torn","evntexp_fire","evntfreq_wind","evntfreq_rain","evntfreq_cold","evntfreq_snow","evntfreq_ice","evntfreq_torn","evntfreq_fire","evntfutfreq_wind","evntfutfreq_drght","evntfutfreq_rain","evntfutfreq_cold","evntfutfreq_snow","evntfutfreq_ice","evntfutfreq_flood","evntfutfreq_torn","evntfutfreq_fire","wtr_bill_totcost","wtr_bill_dk","wtr_use","wtr_short","mntain_lawn","wtr_qual","wtr_safe","wtr_comm","wtr_farm","wtr_steps_flush","wtr_steps_flow","wtr_steps_bath","wtr_steps_lawn","wtr_steps_car","wtr_steps_othr","wtr_steps_spec","enrgy_sourc_elec","enrgy_sourc_natgas","enrgy_sourc_prop","enrgy_sourc_wood","enrgy_sourc_othr","enrgy_sourc_othr_spec","elec_bill_totcost","elec_bill_dk","elec_use","elec_out","gas_bill_totcost","gas_bill_dk","gas_use","enrgy_steps_lghts","enrgy_steps_ac","enrgy_steps_heat","enrgy_steps_savappl","enrgy_steps_unplug","enrgy_steps_insul","enrgy_steps_savdoor","enrgy_steps_othr","enrgy_steps_othr_spec","party","party_spec","lean","ideol","cncrn_secur","cncrn_health","cncrn_enrgy","cncrn_trns","cncrn_tax","cncrn_edu","cncrn_econ","glbwrm_ok","time_outside","spent_outside","cmpr_time_outside","hlth_status","nghbrhd_deal","nghbrhd_close","nghbrhd_care","nghbrhd_not","nghbrhd_eyes","nghbrhd_help","wthr_info_paper","wthr_info_web","wthr_info_govweb","wthr_info_loctv","wthr_info_cabtv","wthr_info_radio","wthr_info_fam","wthr_info_soc","wthr_info_othr","wthr_info_othr_spec","dot_answr","click_bluedot","begin_datetime","end_datetime","is_statewide","hispanic","race","race_spec","evntexp_heat","evntexp_ethqk","evntfreq_heat","evntfreq_ethqk","evntfutfreq_heat","evntfutfreq_ethqk","wtr_steps_leaks","wtr_steps_ldry","enrgy_sourc_geo","enrgy_steps_bulbs","wthr_info_phone","mntain_flwr","mntain_veg","glbcc","glbcc_cert","glbcc_risk","is_payne","is_okcity","evntexp_hail","evntfreq_hail","evntfutfreq_hail","wtr_freq","cncrn_natres","confirm_zip","is_kiamichi","is_washita","is_canadian","consent","home_lot","ethqk_risk","ethqk_cause","ethqk_risk_mgmt","ethqk_risk_rand","ethqk_risk_fed_mgmt","glbwrm_risk_rand","glbwrm_risk_mgmt","glbwrm_risk_fed_mgmt","know_fire","purp_fire","purp_fire_exp","useful_val_fire","use_fire_rural","nofire_notrain","nofire_notnear","nofire_othr","nofire_othr_spec","urban_fire","fire_implmnt","okelec_foss","okelec_nuc","okelec_renew","solar_prop","heard_netmeter","net_met_info","ok_net_met","vote","vote_2016","vote_cand","vote_cand_spec","vote_cand_spt","f.gender","f.party","f.party.2","r.ind","f.ind","r.rep","f.rep","r.dem","f.dem","f.edu","f.race","r.race","f.race.2","r.white","f.white","r.AfricanAmer","f.AfricanAmer","r.age","f.age","f.age.2","r.ideology","f.ideology","f.glbwrm_ok"
"1",12,"Nm-W100208","Wave 12 (Fall 2016)",1,50,1,4,2,1,4,160000,3000,2,3,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,40,0,2,0,1,4,10,4,3,0,0,1,1,0,0,NA,1,1,1,0,0,NA,160,0,2,0,15,0,2,1,1,1,0,0,0,0,0,NA,2,NA,NA,6,9,8,7,7,8,7,10,0,2,3,2,4,7,7,1,1,7,7,"About once a day","About once a day","About once a day","Several times a day","About once a day","About once a day","About once a day","Several times a day",NA,NA,1,0,1481225273,1481226536,1,0,1,NA,0,0,2,1,2,2,0,1,1,1,"About once a day",1,0,0,6,4,0,0,0,1,NA,1,7,73701,0,0,0,"Yes, I agree to participate in this study",2,3,3,3,"managing",0,"regulating",4,4,1,1,"Prescribed burning is an effective land management tool that can help landowners accomplish a variety of objectives.  Prescribed burns are conducted on a designated area under specific conditions for a defined objective, and are extinguished.",1,NA,NA,NA,NA,NA,1,1,"75","0","25",0,0,1,4,1,1,0,NA,5,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",3,"41-50","(17.9,58.5]",3,"Conservative","No"
"2",25,"Nm-W100227","Wave 12 (Fall 2016)",1,58,1,4,1,0,3,45000,950,1,3,3,2,1,1,3,2,1,1,0,0,0,0,0,0,0,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,51.47,0,1,1,1,3,8,1,1,0,0,0,0,0,1,"flush toilet less often and use stored rain water for the garden",1,1,0,0,0,NA,42.93,0,2,0,28.93,0,2,1,1,1,0,0,0,0,0,NA,1,NA,NA,3,6,9,9,7,7,8,7,1,1,2,2,3,4,4,3,3,5,3,"Less than once per week","Never","Never","Several times a day","Less than once per week","Less than once per week","Less than once per week","Never",NA,NA,1,0,1481210090,1481212177,1,0,6,NA,0,1,2,3,2,3,0,1,0,0,"Several times a day",1,1,1,10,10,0,0,0,2,2,4,8,73701,0,0,0,"Yes, I agree to participate in this study",1,8,2,9,"regulating",7,"managing",10,10,1,1,"to burn off stubble from agriculture land and also to burn off areas of overgrowth that would be fuel for a wildfire.",1,NA,NA,NA,NA,NA,2,1,"40","10","50",0,1,1,2,1,1,1,NA,2,"Men","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Some College","2+ races",3,"Other",0,"Non White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",2,"Moderate","Yes"
"3",41,"Nm-W100639","Wave 12 (Fall 2016)",1,52,0,6,2,0,4,40000,1200,1,3,2,2,1,1,2,2,1,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,30,0,2,0,0,4,10,4,4,0,0,0,0,0,0,NA,1,0,1,0,0,NA,NA,1,2,1,NA,NA,NA,0,0,0,0,0,0,0,0,NA,2,NA,NA,6,3,6,5,7,6,8,3,0,4,3,2,5,5,5,1,1,6,4,"Never","Several times per week","Several times a day","Several times per week","Never","Several times a day","Several times a day","Never",NA,NA,NA,1,1481932757,1481933765,1,0,1,NA,0,0,2,2,2,2,0,0,0,0,"Several times a day",0,1,0,6,3,0,0,0,1,1,1,6,73750,0,0,0,"Yes, I agree to participate in this study",3,4,1,4,"managing",3,"managing",3,4,1,1,"To remove debris and large grass to prevent future wildlifes. Also helps in new, regrow for areas.",1,1,NA,NA,NA,NA,NA,NA,"65","0","35",0,1,2,3,1,1,0,NA,4,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",3,"Conservative","No"
"4",54,"Nm-W100680","Wave 12 (Fall 2016)",1,58,1,6,2,NA,4,130000,2000,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,NA,1,2,0,0,4,10,4,4,0,0,0,0,0,0,NA,1,0,0,0,0,NA,NA,1,2,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5,8,5,2,10,8,6,0,2,3,2,5,6,6,1,1,5,4,NA,NA,NA,"Several times a day",NA,"About once a day",NA,NA,NA,NA,1,0,1481143279,1481144038,1,0,1,NA,0,0,2,2,2,2,0,0,0,0,NA,0,0,0,10,0,0,0,0,2,2,NA,5,73760,0,0,0,"Yes, I agree to participate in this study",NA,1,1,0,"managing",0,"regulating",0,0,1,1,"Burn old brush and grass to allow new growth and eliminate fire hazards.",1,NA,NA,NA,NA,NA,NA,NA,"100","0","0",1,0,2,4,1,1,NA,NA,NA,"Men",NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",NA,NA,"No"
"5",69,"Nm-W101178","Wave 12 (Fall 2016)",1,40,0,4,2,2,4,55000,1100,1,3,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,2,2,NA,2,NA,NA,NA,NA,2,2,2,110,0,2,0,0,3,7,3,3,0,0,0,0,0,0,NA,1,0,1,0,0,NA,185,0,3,1,NA,NA,NA,1,0,1,0,0,0,0,0,NA,2,NA,NA,4,7,9,7,9,10,8,7,2,0,NA,2,3,6,7,2,2,6,6,NA,"Several times per week",NA,"About once a day",NA,NA,NA,NA,NA,NA,2,0,1482112800,1482115311,1,0,1,NA,0,1,NA,3,NA,3,0,0,0,0,NA,0,0,0,0,5,0,0,0,2,2,NA,7,74032,0,0,0,"Yes, I agree to participate in this study",3,10,2,10,"regulating",10,"managing",5,5,1,1,"Starting a fire by the fire dept or by letting them know that the fire is being started of a area that is known to be burned and for how long, and is water or a way to get the fire out near by.",1,0,1,0,0,NA,NA,NA,"40","10","50",0,0,1,4,1,1,0,NA,4,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",2,"31-40","(17.9,58.5]",2,"Moderate",NA
"6",85,"Nm-W101198","Wave 12 (Fall 2016)",1,44,0,4,2,0,4,33000,2200,1,2,3,2,1,1,2,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,3,0,0,2,0,1,4,10,1,1,0,0,1,0,0,0,NA,1,0,1,1,0,NA,75,0,2,0,NA,NA,NA,1,1,1,0,1,0,0,0,NA,3,NA,2,4,10,10,10,10,10,NA,10,1,1,3,2,1,1,1,7,7,1,1,NA,NA,NA,"About once a day",NA,"Several times a day",NA,NA,NA,NA,NA,1,1481049678,1481050940,1,0,1,NA,0,1,1,3,3,3,0,0,0,1,NA,0,0,0,5,NA,0,0,0,1,1,1,10,74038,0,0,0,"Yes, I agree to participate in this study",3,10,1,10,"regulating",10,"managing",10,10,1,1,"Contact the Fire Department for approval of a prescribed burn in writing",1,0,1,0,0,NA,NA,NA,"23","1","76",0,0,1,4,0,NA,NA,NA,NA,"Women","Ind","Ind",1,"Ind",0,"Non Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",3,"41-50","(17.9,58.5]",2,"Moderate","Yes"
"7",104,"Nm-W101303","Wave 12 (Fall 2016)",1,60,0,6,3,2,4,40000,950,1,3,3,3,1,1,3,3,1,1,0,0,0,0,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,1,2,0,0,3,7,2,2,0,0,1,0,1,0,NA,1,0,0,0,0,NA,NA,1,2,0,NA,NA,NA,1,1,1,0,1,0,0,0,NA,1,NA,NA,2,10,10,10,10,10,10,10,0,1,2,2,2,1,5,3,1,3,1,"Never","Several times per week","Several times per week","About once a day","Several times per week","Less than once per week","Several times a day","Several times a day",NA,NA,1,0,1481038193,1481039097,1,0,1,NA,1,1,3,3,2,3,0,0,0,0,"Several times a day",0,0,0,5,5,0,0,0,2,2,NA,10,74075,0,0,0,"Yes, I agree to participate in this study",2,10,2,10,"regulating",10,"managing",5,5,1,1,"A controlled fire to help prevent a wildfire",1,NA,NA,NA,NA,NA,0,1,"50","0","50",0,0,1,4,1,1,0,NA,3,"Women","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(58.5,99.1]",1,"Liberal","No"
"8",117,"Nm-W101412","Wave 12 (Fall 2016)",1,67,1,6,2,NA,4,50000,1600,1,3,3,3,2,1,3,2,1,1,0,0,0,0,0,0,0,2,2,2,2,1,2,2,2,3,2,2,2,2,2,3,3,50,0,2,0,0,3,8,4,3,0,0,1,0,1,0,NA,1,0,1,1,0,NA,75,0,2,0,NA,NA,NA,1,0,0,0,1,0,0,0,NA,2,NA,NA,4,8,10,9,8,9,9,9,2,4,1,3,4,1,1,1,1,1,1,"Never","About once a day","Never","Several times a day","About once per week","Several times a day","Never","Never",NA,NA,2,0,1481596594,1481597692,1,0,1,NA,1,1,3,3,3,3,1,0,0,1,"Never",1,0,1,1,5,0,0,0,2,2,4,5,74074,0,0,0,"Yes, I agree to participate in this study",3,7,2,6,"managing",5,"regulating",3,3,1,1,"Burn off unwanted brush or wheat stubble",1,1,NA,NA,NA,NA,NA,NA,"75","0","25",0,1,1,3,1,1,0,NA,4,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",2,"Moderate",NA
"9",139,"Nm-W101857","Wave 12 (Fall 2016)",1,66,0,6,2,0,8,25000,1400,1,3,3,3,1,1,3,3,0,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,3,3,1,2,1,2,1,1,3,69,0,3,0,0,4,10,1,1,1,0,0,0,1,0,NA,1,0,1,0,0,NA,42,0,2,0,NA,NA,NA,1,1,1,0,1,0,0,0,NA,2,NA,NA,7,10,10,10,10,10,4,10,2,3,3,3,5,7,7,1,1,7,7,"Never","Less than once per week","Never","Several times a day","Never","Several times a day","Less than once per week","Never",NA,NA,1,0,1481025123,1481026270,1,0,1,NA,0,1,3,3,3,3,0,0,0,0,"Several times per week",1,0,0,8,3,0,0,0,1,1,5,10,74604,0,0,0,"Yes, I agree to participate in this study",3,10,2,10,"regulating",0,"managing",1,1,1,1,"To get rid of foliage that they do not want.....",0,0,0,1,0,NA,NA,NA,"80","0","20",0,2,1,2,1,1,0,NA,5,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",3,"Conservative",NA
"10",152,"Nm-W102174","Wave 12 (Fall 2016)",1,46,1,4,1,0,5,NA,1300,1,2,3,2,2,2,2,1,0,1,0,1,0,0,0,0,0,2,2,1,2,1,2,2,2,2,2,2,2,2,2,3,2,65,0,2,0,1,2,3,2,3,0,0,0,0,1,0,NA,1,1,0,0,0,NA,125,0,1,1,60,0,1,1,0,0,0,0,0,0,0,NA,4,"None",NA,4,0,6,6,6,7,5,7,1,1,3,1,2,3,3,2,3,4,3,"Never","About once per week","Less than once per week","About once per week","Never","Less than once per week","Less than once per week","Never",NA,NA,NA,1,1482877798,1482879948,1,0,1,NA,0,1,1,3,2,3,0,0,0,1,"Never",0,0,1,9,9,0,0,0,2,2,1,5,74012,0,0,0,"Yes, I agree to participate in this study",2,1,3,1,"regulating",1,"regulating",1,1,1,1,"Management - reducing the risk and intensity of uncontrolled fires.",1,NA,NA,NA,NA,NA,0,1,"25","0","75",0,2,1,4,0,NA,NA,NA,NA,"Men","Other",NA,0,"Non Ind",0,"Non Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",3,"41-50","(17.9,58.5]",2,"Moderate","Yes"
